Query Number	Algorithm	SolutionNumber	Size	Distance
33	MoeSQLmosa	1	1	[29.0, 0.0, 30.0, 30.0]
33	MoeSQLmosa	2	1	[0.0, 1.0, 1.0, 1.0]
33	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
33	MOTGA	0	4	[0.0, 0.0, 0.0, 0.0]
34	MoeSQLmosa	0	3	[0.0, 1.0, 1.0, 0.0, 0.0]
34	MoeSQLmosa	1	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
34	MoeSQLmosa	2	1	[22.0, 0.0, 1.0, 23.0, 23.0]
34	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0]
35	MoeSQLmosa	0	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
35	MoeSQLmosa	1	1	[8.0, 9.0, 9.0, 0.0, 1.0]
35	MoeSQLmosa	2	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
35	MoeSQLmosa	3	1	[30.750910506297117, 0.0, 1.0, 31.750910506297117, 31.750910506297117]
35	MoeSQLmosa	4	1	[0.0, 1.0, 1.0, 1.0, 1.0]
35	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0]
36	MoeSQLmosa	0	1	[0.0, 1.0, 1.0, 1.0, 1.0]
36	MoeSQLmosa	1	1	[9.88888888888889, 0.0, 1.0, 10.88888888888889, 10.88888888888889]
36	MoeSQLmosa	2	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
36	MoeSQLmosa	3	1	[8.0, 9.0, 9.0, 0.0, 1.0]
36	MoeSQLmosa	4	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
36	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0]
37	MoeSQLmosa	0	1	[30.0, 0.0, 1.0, 31.0, 31.0]
37	MoeSQLmosa	1	1	[0.0, 1.0, 1.0, 1.0, 1.0]
37	MoeSQLmosa	2	2	[8.0, 9.0, 0.0, 0.0, 1.0]
37	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
37	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0]
38	MoeSQLmosa	0	2	[0.0, 0.0, 1.0, 1.0]
38	MoeSQLmosa	1	1	[8.0, 9.0, 0.0, 1.0]
38	MoeSQLmosa	2	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
38	MOTGA	0	4	[0.0, 0.0, 0.0, 0.0]
39	MoeSQLmosa	0	1	[8.0, 9.0, 9.0, 0.0, 1.0]
39	MoeSQLmosa	1	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
39	MoeSQLmosa	2	1	[0.0, 1.0, 1.0, 1.0, 1.0]
39	MoeSQLmosa	3	1	[18.0, 0.0, 1.0, 19.0, 19.0]
39	MoeSQLmosa	4	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
39	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0]
40	MoeSQLmosa	0	3	[0.0, 0.0, 0.0, 1.0]
40	MoeSQLmosa	1	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
40	MOTGA	0	4	[0.0, 0.0, 0.0, 0.0]
41	MoeSQLmosa	0	2	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 83.47813596104132, 82.47813596104132]
41	MoeSQLmosa	1	2	[34.395459687371456, 35.395459687371456, 35.395459687371456, 0.0, 1.0, 35.395459687371456, 35.395459687371456, 35.395459687371456, 35.395459687371456, 2.0, 34.395459687371456, 35.395459687371456]
41	MoeSQLmosa	2	2	[24.234775641025642, 25.234775641025642, 25.234775641025642, 25.234775641025642, 25.234775641025642, 25.234775641025642, 25.234775641025642, 25.234775641025642, 25.234775641025642, 0.0, 0.0, 1.0]
41	MoeSQLmosa	3	2	[34.395459687371456, 0.0, 1.0, 35.395459687371456, 35.395459687371456, 35.395459687371456, 35.395459687371456, 35.395459687371456, 35.395459687371456, 2.0, 34.395459687371456, 35.395459687371456]
41	MoeSQLmosa	4	2	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0]
