Query Number	Algorithm	SolutionNumber	Size	Distance
11	MoeSQLmosa	0	1	[1.0, 0.0, 1.0, 0.0, 11.944473240617672]
11	MoeSQLmosa	1	1	[2.0, 1.0, 2.0, 1.0, 0.0]
11	MoeSQLmosa	2	1	[2.0, 1.0, 0.0, 1.0, 16.24400240443505]
11	MoeSQLmosa	3	1	[0.0, 1.0, 2.0, 1.0, 12.788463849734342]
11	MOTGA	0	4	[0.0, 0.0, 0.0, 0.0, 0.0]
12	MoeSQLmosa	0	2	[0.0, 0.0, 1.0]
12	MoeSQLmosa	1	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0]
12	MOTGA	0	3	[0.0, 0.0, 0.0]
13	MoeSQLmosa	0	2	[0.0, 0.0]
13	MOTGA	0	2	[0.0, 0.0]
14	MoeSQLmosa	0	2	[6.320384294068504, 0.0, 1.0, 0.0, 1.0]
14	MoeSQLmosa	1	1	[0.0, 1.0, 1.0, 1.0, 1.0]
14	MoeSQLmosa	2	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
14	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
14	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0]
15	MoeSQLmosa	0	1	[1.0, 0.0]
15	MoeSQLmosa	1	1	[0.0, 4.735162337662338]
15	MOTGA	0	2	[0.0, 0.0]
17	MoeSQLmosa	0	1	[1.0, 0.0]
17	MoeSQLmosa	1	1	[0.0, 30.136742554544412]
17	MOTGA	0	2	[0.0, 0.0]
18	MoeSQLmosa	0	1	[9.837249373433584, 10.837249373433584, 10.837249373433584, 0.0, 1.0, 10.837249373433584, 10.837249373433584, 24.875586334379243]
18	MoeSQLmosa	1	1	[35.773809523809526, 36.773809523809526, 36.773809523809526, 36.773809523809526, 36.773809523809526, 0.0, 1.0, 72.48321608946608]
18	MoeSQLmosa	2	1	[29.840527410331422, 0.0, 1.0, 30.840527410331422, 30.840527410331422, 30.840527410331422, 30.840527410331422, 39.64507286487688]
18	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
18	MoeSQLmosa	4	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306]
18	MoeSQLmosa	5	1	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 15.038336960945657]
18	MoeSQLmosa	6	1	[1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0]
18	MoeSQLmosa	7	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
18	MOTGA	0	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
19	MoeSQLmosa	0	2	[0.0, 0.0]
19	MOTGA	0	2	[0.0, 0.0]
20	MoeSQLmosa	0	2	[0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2.0, 2.0, 1.0]
20	MoeSQLmosa	1	2	[450.0984714739766, 451.0984714739766, 451.0984714739766, 451.0984714739766, 450.0984714739766, 449.0984714739766, 429.0, 0.0, 1.0]
20	MoeSQLmosa	2	2	[40.79892915461969, 32.05261025062602, 33.05261025062602, 41.79892915461969, 40.79892915461969, 41.79892915461969, 0.0, 8.746318903993677, 9.746318903993677]
20	MoeSQLmosa	3	2	[31.03961160763544, 0.0, 1.0, 32.039611607635436, 31.03961160763544, 32.039611607635436, 2.0, 31.03961160763544, 32.039611607635436]
20	MoeSQLmosa	4	2	[1.0, 2.0, 2.0, 2.0, 1.0, 0.0, 3.0, 2.0, 1.0]
20	MoeSQLmosa	5	2	[1.0, 2.0, 2.0, 0.0, 1.0, 2.0, 3.0, 2.0, 1.0]
20	MoeSQLmosa	6	2	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 1.7976931348623156E306]
20	MoeSQLmosa	7	2	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.0, 0.0]
20	MOTGA	0	2	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.0, 0.0]
20	MOTGA	1	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 1.7976931348623156E306]
21	MoeSQLmosa	0	2	[0.0, 0.0]
21	MOTGA	0	2	[0.0, 0.0]
22	MoeSQLmosa	0	2	[0.0, 0.0, 1.0]
22	MoeSQLmosa	1	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0]
22	MOTGA	0	3	[0.0, 0.0, 0.0]
23	MoeSQLmosa	0	1	[28.272222222222222, 0.0, 1.0, 29.272222222222222, 29.272222222222222]
23	MoeSQLmosa	1	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
23	MoeSQLmosa	2	1	[33.83743416829585, 34.83743416829585, 34.83743416829585, 0.0, 1.0]
23	MoeSQLmosa	3	1	[0.0, 1.0, 1.0, 1.0, 1.0]
23	MoeSQLmosa	4	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
23	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0]
24	MoeSQLmosa	0	1	[1.0, 0.0]
24	MoeSQLmosa	1	1	[0.0, 30.166666666666664]
24	MOTGA	0	2	[0.0, 0.0]
25	MoeSQLmosa	0	1	[0.0, 34.32873221345923]
25	MoeSQLmosa	1	1	[1.0, 0.0]
25	MOTGA	0	2	[0.0, 0.0]
26	MoeSQLmosa	0	2	[11.668517408688874, 0.0, 1.0, 0.0, 1.0]
26	MoeSQLmosa	1	1	[0.0, 1.0, 1.0, 1.0, 1.0]
26	MoeSQLmosa	2	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
26	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
26	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0]
27	MoeSQLmosa	0	1	[1.0, 0.0]
27	MoeSQLmosa	1	1	[0.0, 23.336242420534575]
27	MOTGA	0	2	[0.0, 0.0]
28	MoeSQLmosa	0	1	[0.0, 1.0, 2.0]
28	MoeSQLmosa	1	1	[2.0, 1.0, 0.0]
28	MoeSQLmosa	2	1	[1.0, 0.0, 1.0]
28	MOTGA	0	3	[0.0, 0.0, 0.0]
29	MoeSQLmosa	0	1	[2.0, 1.0, 0.0]
29	MoeSQLmosa	1	1	[0.0, 1.0, 2.0]
29	MoeSQLmosa	2	1	[1.0, 0.0, 1.0]
29	MOTGA	0	3	[0.0, 0.0, 0.0]
30	MoeSQLmosa	0	2	[0.0, 0.0]
30	MOTGA	0	2	[0.0, 0.0]
31	MoeSQLmosa	0	1	[5.0, 0.0, 1.0, 5.0, 6.0, 34.0, 6.0, 5.0, 6.0]
31	MoeSQLmosa	1	1	[1.0, 2.0, 2.0, 1.0, 1.0, 0.0, 2.0, 1.0, 2.0]
31	MoeSQLmosa	2	1	[0.0, 1.0, 1.0, 0.0, 1.0, 8.0, 1.0, 0.0, 1.0]
31	MoeSQLmosa	3	1	[1.0, 2.0, 2.0, 1.0, 2.0, 6.0, 0.0, 1.0, 2.0]
31	MoeSQLmosa	4	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
31	MoeSQLmosa	5	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
31	MoeSQLmosa	6	1	[1.0, 2.0, 2.0, 1.0, 2.0, 6.0, 2.0, 1.0, 0.0]
31	MOTGA	0	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
32	MoeSQLmosa	0	1	[43.67724358974358, 0.0, 1.0, 44.67724358974358, 44.67724358974358]
32	MoeSQLmosa	1	1	[39.307702618263455, 40.307702618263455, 40.307702618263455, 0.0, 1.0]
32	MoeSQLmosa	2	1	[0.0, 1.0, 1.0, 1.0, 1.0]
32	MoeSQLmosa	3	2	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 0.0]
32	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0]
