Query Number	Algorithm	Runtime	Coverage	TotalPath	Distance	Generations	Number Individual	Exceptions
29	MoeSQLmosa	153	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	10	600	
29	MOTGA	23	6	6	[0.0, 0.0, 0.0, 0.0, 2.0, 0.0]	4	63	
30	MoeSQLmosa	12	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
30	MOTGA	13	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
31	MoeSQLmosa	12	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
31	MOTGA	7	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
32	MoeSQLmosa	28	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
32	MOTGA	35	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	102	
33	MoeSQLmosa	33	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
33	MOTGA	7	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
34	MoeSQLmosa	13	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
34	MOTGA	13	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
35	MoeSQLmosa	7	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
35	MOTGA	6	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	43	
36	MoeSQLmosa	36	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
36	MOTGA	25	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
37	MoeSQLmosa	9	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
37	MOTGA	11	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
38	MoeSQLmosa	55	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
38	MOTGA	17	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
39	MoeSQLmosa	10	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
39	MOTGA	7	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	61	
40	MoeSQLmosa	11	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
40	MOTGA	9	4	4	[0.0, 0.0, 0.0, 0.0]	0	33	
41	MoeSQLmosa	1077	12	12	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	18	1000	
41	MOTGA	5398	12	12	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0]	10	555	
